Stakeholder,Detailed Description,RevenuesInMillion,RevenueChange,ProfitsInMillon,AssetsInMillion,ProfitChange,TotalEmployees,MetaIndustry,MetaPreviousRank,MetaRank,CEO,Sector,Industry,LocationHeadquater,WebsiteURL,YearsOnGlobal500List,TotalStakeholderEquity,ProfitAsPercentageRevenue,ProfitAsPercentageAsset,ProfitAsPercentageStockHolderEquity
ING Group,"The ING Group is a Dutch multinational banking and financial services corporation headquartered in Amsterdam. Its primary businesses are retail banking, direct banking, commercial banking, investment banking, asset management, and insurance services.",55282,-16.5,5501.6,888226,0.7,51943,Banks: Commercial and Savings,117,163,Ralph Hamers,Financial Sector,Banks: Commercial and Savings,"Amsterdam, Netherlands",http://www.ing.com,23,49839,49839,0.6,11
Mitsubishi UFJ Financial Group,"Mitsubishi UFJ Financial Group, Inc. is a Japanese bank holding / financial services company headquartered in Chiyoda, Tokyo, Japan.",55185,15.9,8550.1,2722354,7.9,115276,Banks: Commercial and Savings,191,164,Nobuyuki Hirano,Financial Sector,Banks: Commercial and Savings,"Tokyo, Japan",http://www.mufg.jp,16,110573,110573,0.3,7.7
Royal Ahold Delhaize,"SHOP 'n SAVE is a locally owned and operated grocery store chain based in the Pittsburgh area with dozens of supermarket locations in Western Pennsylvania, Western New York, Eastern Ohio, Northern Virginia, Maryland and West Virginia",54955,29.7,917.9,38257,-2.9,225000,Food and Drug Stores,222,165,Dick Boer,Health Care,Food and Drug Stores,"Zaandam, Netherlands",http://www.aholddelhaize.com,23,17165,17165,2.4,5.3
Humana,"Humana Inc. is a for-profit American health insurance company based in Louisville, Kentucky. As of 2014 Humana had over 13 million customers in the U.S., reported a 2013 revenue of US$41.3 billion, and had 51,600 employees.",54379,0.2,614,25396,-51.9,51600,Health Care: Insurance and Managed Care,162,166,Bruce D. Broussard,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",http://www.humana.com,19,10685,10685,2.4,5.7
Seven & I Holdings,"Seven & I Holdings Co., Ltd. is a Japanese diversified retail group headquartered in Nibancho, Chiyoda, Tokyo, Japan. Seven &amp; I was founded in 1920 as Ito-Yokado, and was the fifteenth largest retailer in the world as of 2018.",53858,7.5,892.9,49244,-33,54712,Food and Drug Stores,179,167,Ryuichi Isaka,Health Care,Food and Drug Stores,"Tokyo, Japan",http://www.7andi.com,12,20086,20086,1.8,4.4
Indian Oil,"Indian Oil Corporation Limited, commonly known as IndianOil is an Indian state owned oil and gas company with registered office at Mumbai and primarily headquartered in New Delhi.",53562,-2.1,2960,42132,72.7,34999,Petroleum Refining,161,168,Sanjiv Singh,Energy,Petroleum Refining,"New Delhi, India",http://www.iocl.com,23,15724,15724,7,18.8
Roche Group,"F. Hoffmann-La Roche AG is a Swiss multinational healthcare company that operates worldwide under two divisions: Pharmaceuticals and Diagnostics. Its holding company, Roche Holding AG, has bearer shares listed on the SIX Swiss Exchange. The company headquarters are located in Basel",53427,2,9719.9,75609,5.5,94052,Pharmaceuticals,167,169,Severin Schwan,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.roche.com,23,23534,23534,12.9,41.3
HNA Group,"HNA Group Co., Ltd., is a Chinese conglomerate headquartered in Haikou, Hainan, China. Founded in 2000, it is involved in numerous industries including aviation, real estate, financial services, tourism, logistics, and more.",53035,79.4,278.9,173095,18.7,220258,Airlines,353,170,Tan Xiangdong,Transportation,Airlines,"Haikou City, China",http://www.hnagroup.com,3,14096,14096,0.2,2
General Motors,"General Motors Company, commonly referred to as General Motors, is an American multinational corporation headquartered in Detroit that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services, with global headquarters in Detroit's Renaissance Center.",166380,9.2,9427,221690,-2.7,225000,Motor Vehicles and Parts,20,18,Mary T. Barra,Transportation,Motor Vehicles and Parts,"Detroit, MI",http://www.gm.com,23,43836,43836,4.3,21.5
Bank of Communications,"Bank of Communications Limited, founded in 1908, is the fifth-largest bank in mainland China.Established in 1908, the Bank of Communications claims a long history in China and is one of the banks to have issued banknotes in modern Chinese history. ",52990,-7.1,10116.9,1209176,-4.4,95160,Banks: Commercial and Savings,153,171,Niu Ximing,Financial Sector,Banks: Commercial and Savings,"Shanghai, China",http://www.bankcomm.com,9,90531,90531,0.8,11.2
CITIC Group,"CITIC Group Corporation Ltd., formerly the China International Trust Investment Corporation, is a state-owned investment company of the People's Republic of China, established by Rong Yiren in 1979 with the approval of Deng Xiaoping.",52852,-5.5,3236.3,938261,-14,201263,Diversified Financials,156,172,Chang Zhenming,Financial Sector,Diversified Financials,"Beijing, China",http://www.citicgroup.com.cn,9,41784,41784,0.3,7.7
Pfizer,"Pfizer Inc. is an American pharmaceutical corporation headquartered in New York City, with its research headquarters in Groton, Connecticut. It is one of the world's largest pharmaceutical companies.",52824,8.1,7215,171615,3.7,96500,Pharmaceuticals,186,173,Ian C. Read,Health Care,Pharmaceuticals,"New York, NY",http://www.pfizer.com,23,59544,59544,4.2,12.1
Bayer,Bayer AG is a German multinational pharmaceutical and life sciences company and one of the largest pharmaceutical companies in the world.,52569,0.3,5010.6,86731,9.9,115170,Pharmaceuticals,165,174,Werner Baumann,Health Care,Pharmaceuticals,"Leverkusen, Germany",http://www.bayer.com,23,31990,31990,5.8,15.7
AIG,"American International Group, Inc., also known as AIG, is an American multinational finance and insurance corporation with operations in more than 80 countries and jurisdictions. As of December 31, 2016, AIG companies employed 56,400 people.",52367,-10.2,-849,498264,-138.7,56400,Insurance: Property and Casualty (Stock),150,175,Brian Duperreault,Financial Sector,Insurance: Property and Casualty (Stock),"New York, NY",http://www.aig.com,22,76300,76300,-0.2,-1.1
America Movil,"America Movil is a Mexican telecommunications corporation headquartered in Mexico City, Mexico. It is the seventh largest mobile network operator in terms of equity subscribers and one of the largest corporations in the world.",52201,-7.4,462.9,73555,-79,194193,Telecommunications,154,176,Daniel Hajj Aboumrad,Telecommunications,Telecommunications,"Mexico City, Mexico",http://www.americamovil.com,11,10143,10143,0.6,4.6
Korea Electric Power,"Korea Electric Power Caorporation, better known as KEPCO or Hanjeon, is the largest electric utility in South Korea, responsible for the generation, transmission and distribution of electricity and the development of electric power projects including those in nuclear power, wind power and coal.",51500,-0.6,6074.1,147265,-48.3,43688,Utilities,172,177,Hwan-Eik Cho,Energy,Utilities,"Jeollanam-do, South Korea",http://www.kepco.co.kr,23,59394,59394,4.1,10.2
Lockheed Martin,"Lockheed Martin Corporation is an American global aerospace, defense, security and advanced technologies company with worldwide interests. It was formed by the merger of Lockheed Corporation with Martin Marietta in March 1995. It is headquartered in North Bethesda, Maryland, in the Washington, DC, area",50658,9.8,5302,47806,47.1,97000,Aerospace and Defense,197,178,Marillyn A. Hewson,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD",http://www.lockheedmartin.com,23,1511,1511,11.1,350.9
Sysco,"Sysco Corporation is an American multinational corporation involved in marketing and distributing food products to restaurants, healthcare and educational facilities, hospitality businesses like hotels and inns, and wholesale to other companies that provide foodservice.",50367,3.5,949.6,16722,38.3,51900,Wholesalers: Food and Grocery,188,179,William J. DeLaney III,Wholesalers & Retailers,Wholesalers: Food and Grocery,"Houston, TX",http://www.sysco.com,23,3480,3480,5.7,27.3
FedEx,"FedEx Corporation is an American multinational courier delivery services company headquartered in Memphis, Tennessee. The name FedEx"" is a syllabic abbreviation of the name of the company's original air division",50365,6.1,1820,46064,73.3,335767,"Mail, Package, and Freight Delivery",192,180,Frederick W. Smith,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",http://www.fedex.com,23,13784,13784,4,13.2
AT&T,"AT&T Inc. is an American multinational conglomerate holding company headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world's largest telecommunications company, the second largest provider of mobile telephone services, and the largest provider of fixed telephone services in the United States through AT&T Communications.",163786,11.6,12976,403821,-2.8,268540,Telecommunications,23,19,Randall L. Stephenson,Telecommunications,Telecommunications,"Dallas, TX",http://www.att.com,23,123135,123135,3.2,10.5
Hewlett Packard Enterprise,"Hewlett Packard Enterprise Company is an American multinational enterprise information technology company based in Santa Clara, California, founded on 1 November 2015 as part of splitting of the Hewlett-Packard company",50123,,3161,79679,,195000,Information Technology Services,0,181,Margaret C. Whitman,Technology,Information Technology Services,"Palo Alto, CA",http://www.hpe.com,1,31448,31448,4,10.1
Louis Dreyfus Company,"Louis Dreyfus Company B.V. is a global merchant firm that is involved in agriculture, food processing, international shipping, and finance.",49838,-10.6,305,19843,44.5,17407,Food Production,157,182,Gonzalo Ramirez Martiarena,"Food, Beverages & Tobacco",Food Production,"Rotterdam, Netherlands",http://www.ldc.com,4,5115,5115,1.5,6
Amer International Group,"Amer International Group Ltd is a hi-tech industrial enterprise, mainly dealing in new and innovative non-ferrous metals and non-metallic materials. The company was founded by Chinese business magnat Wang Wenyin.",49677,3.9,1199.9,18405,5.2,17852,"Electronics, Electrical Equip.",190,183,Wang Wenyin,Technology,"Electronics, Electrical Equip.","Shenzhen, China",http://www.amer.com.cn,5,10005,10005,6.5,12
Petronas,"PETRONAS, short for Petroliam Nasional Berhad, is a Malaysian oil and gas company that was founded on 17 August 1974. Wholly owned by the Government of Malaysia, the corporation is vested with the entire oil and gas resources in Malaysia and is entrusted with the responsibility of developing and adding value to these resources.",49479,-22,4092.9,134528,21.4,51034,Petroleum Refining,125,184,Wan Zulkiflee Wan Ariffin,Energy,Petroleum Refining,"Kuala Lumpur, Malaysia",http://www.petronas.com.my,21,84800,84800,3,4.8
Tokyo Electric Power,"Tokyo Electric Power Company Holdings, Inc., also known as Toden or TEPCO, is a Japanese electric utility holding company servicing Japan's Kantō region, Yamanashi Prefecture, and the eastern portion of Shizuoka Prefecture. This area includes Tokyo",49446,-2.2,1225.7,110202,4.5,42060,Utilities,177,185,Naomi Hirose,Energy,Utilities,"Tokyo, Japan",http://www.tepco.co.jp,23,20905,20905,1.1,5.9
Novartis,"Novartis International AG is a Swiss multinational pharmaceutical company based in Basel, Switzerland. It is one of the largest pharmaceutical companies by both market capitalization and sales.",49436,-3.1,6712,130124,-62.3,118393,Pharmaceuticals,175,186,Joseph Jimenez,Health Care,Pharmaceuticals,"Basel, Switzerland",http://www.novartis.com,23,74832,74832,5.2,9
Cisco Systems,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, telecommunications equipment and other high-technology services and products",49247,0.2,10739,121652,19.6,73700,Network and Other Communications Equipment,183,187,Charles H. Robbins,Technology,Network and Other Communications Equipment,"San Jose, CA",http://www.cisco.com,18,63586,63586,8.8,16.9
MS&AD Insurance Group Holdings,MS & AD Insurance Group Holdings is a Japanese insurance company. Its businesses include Mitsui Sumitomo Insurance and Aioi Nissay Dowa Insurance. It is listed on the Nikkei 225.,49239,17.9,1942.2,190596,28.5,40641,Insurance: Property and Casualty (Stock),231,188,Yasuyoshi Karasawa,Financial Sector,Insurance: Property and Casualty (Stock),"Tokyo, Japan",http://www.ms-ad-hd.com,19,12793,12793,1,15.2
Deutsche Bank,"Deutsche Bank AG is a German multinational investment bank and financial services company headquartered in Frankfurt, Germany. The bank is operational in 58 countries with a large presence in Europe, the Americas and Asia.",48876,-6.8,-1550.4,1677437,,99744,Banks: Commercial and Savings,166,189,John Cryan,Financial Sector,Banks: Commercial and Savings,"Frankfurt, Germany",http://www.db.com,23,63102,63102,-0.1,-2.5
PowerChina,"Approved by the State Council, Power Construction Corporation of China (POWERCHINA) is a wholly state-owned company set up in September 2011 on the basis of 14 provincial/municipal/regional electric power survey and design, engineering and equipment manufacturing enterprises formerly affiliated to Sinohydro Group Ltd., HydroChina Corporation, State Grid Corporation of China and China Southern Power Grid Company Limited",48869,7.2,1057.6,86687,-9.6,187813,"Engineering, Construction",200,190,Yan Zhiyong,Engineering & Construction,"Engineering, Construction","Beijing, China",http://www.powerchina.cn,6,9990,9990,1.2,10.6
EXOR Group,"Exor N.V. is an Italian leading holding company, incorporated in the Netherlands and controlled by the Italian Agnelli family. It has a capitalization of nearly $24 billion USD, with a history of investments running over a century.",154894,1.5,651.3,186172,-21.1,302562,Diversified Financials,19,20,John Elkann,Financial Sector,Diversified Financials,"Amsterdam, Netherlands",http://www.exor.com,7,11582,11582,0.3,5.6
